i,t,x_tip,y_tip
540,0.158383,0.296759,0.296759
541,0.158683,0.29673,0.29673
542,0.158982,0.296701,0.296701
543,0.159281,0.296672,0.296672
544,0.159581,0.296643,0.296643
545,0.15988,0.296615,0.296615
546,0.16018,0.296586,0.296586
547,0.160479,0.296556,0.296556
548,0.160778,0.296526,0.296526
549,0.161078,0.296496,0.296496
550,0.161377,0.296466,0.296466
551,0.161677,0.296435,0.296435
552,0.161976,0.296404,0.296404
553,0.162275,0.296374,0.296374
554,0.162575,0.296343,0.296343
555,0.162874,0.296312,0.296312
556,0.163174,0.296281,0.296281
557,0.163473,0.29625,0.29625
558,0.163772,0.296218,0.296218
559,0.164072,0.296187,0.296187
560,0.164371,0.296156,0.296156
561,0.164671,0.296125,0.296125
562,0.16497,0.296093,0.296093
563,0.165269,0.296062,0.296062
564,0.165569,0.296031,0.296031
565,0.165868,0.295999,0.295999
566,0.166168,0.295968,0.295968
567,0.166467,0.295937,0.295937
568,0.166766,0.295906,0.295906
569,0.167066,0.295875,0.295875
570,0.167365,0.295844,0.295844
571,0.167665,0.295813,0.295813
572,0.167964,0.295781,0.295781
573,0.168263,0.29575,0.29575
574,0.168563,0.295719,0.295719
575,0.168862,0.295688,0.295688
576,0.169162,0.295658,0.295658
577,0.169461,0.295628,0.295628
578,0.16976,0.295598,0.295598
579,0.17006,0.295568,0.295568
580,0.170359,0.295538,0.295538
581,0.170659,0.295509,0.295509
582,0.170958,0.295479,0.295479
583,0.171257,0.295449,0.295449
584,0.171557,0.295419,0.295419
585,0.171856,0.29539,0.29539
586,0.172156,0.295361,0.295361
587,0.172455,0.295331,0.295331
588,0.172754,0.295303,0.295303
589,0.173054,0.295273,0.295273
590,0.173353,0.295244,0.295244
591,0.173653,0.295214,0.295214
592,0.173952,0.295185,0.295185
593,0.174251,0.295156,0.295156
594,0.174551,0.295126,0.295126
595,0.17485,0.295097,0.295097
596,0.17515,0.295067,0.295067
597,0.175449,0.295037,0.295037
598,0.175749,0.295008,0.295008
599,0.176048,0.294979,0.294979
600,0.176347,0.29495,0.29495
601,0.176647,0.29492,0.29492
602,0.176946,0.294889,0.294889
603,0.177246,0.294859,0.294859
604,0.177545,0.294829,0.294829
605,0.177844,0.294798,0.294798
606,0.178144,0.294767,0.294767
607,0.178443,0.294735,0.294735
608,0.178743,0.294704,0.294704
609,0.179042,0.294674,0.294674
610,0.179341,0.294643,0.294643
611,0.179641,0.294611,0.294611
612,0.17994,0.29458,0.29458
613,0.18024,0.294548,0.294548
614,0.180539,0.294515,0.294515
615,0.180838,0.294483,0.294483
616,0.181138,0.294451,0.294451
617,0.181437,0.294419,0.294419
618,0.181737,0.294386,0.294386
619,0.182036,0.294353,0.294353
620,0.182335,0.294321,0.294321
621,0.182635,0.294288,0.294288
622,0.182934,0.294255,0.294255
623,0.183234,0.294222,0.294222
624,0.183533,0.29419,0.29419
625,0.183832,0.294157,0.294157
626,0.184132,0.294123,0.294123
627,0.184431,0.29409,0.29409
628,0.184731,0.294056,0.294056
629,0.18503,0.294023,0.294023
630,0.185329,0.293989,0.293989
631,0.185629,0.293955,0.293955
632,0.185928,0.293922,0.293922
633,0.186228,0.293889,0.293889
634,0.186527,0.293856,0.293856
635,0.186826,0.293824,0.293824
636,0.187126,0.293791,0.293791
637,0.187425,0.293758,0.293758
638,0.187725,0.293725,0.293725
639,0.188024,0.293692,0.293692
640,0.188323,0.293659,0.293659
641,0.188623,0.293627,0.293627
642,0.188922,0.293594,0.293594
643,0.189222,0.293561,0.293561
644,0.189521,0.293529,0.293529
645,0.18982,0.293497,0.293497
646,0.19012,0.293464,0.293464
647,0.190419,0.293432,0.293432
648,0.190719,0.293401,0.293401
649,0.191018,0.29337,0.29337
650,0.191317,0.293338,0.293338
651,0.191617,0.293306,0.293306
652,0.191916,0.293275,0.293275
653,0.192216,0.293244,0.293244
654,0.192515,0.293212,0.293212
655,0.192814,0.293181,0.293181
656,0.193114,0.293149,0.293149
657,0.193413,0.293118,0.293118
658,0.193713,0.293087,0.293087
659,0.194012,0.293057,0.293057
660,0.194311,0.293026,0.293026
661,0.194611,0.292996,0.292996
662,0.19491,0.292965,0.292965
663,0.19521,0.292934,0.292934
664,0.195509,0.292902,0.292902
665,0.195808,0.292871,0.292871
666,0.196108,0.29284,0.29284
667,0.196407,0.292809,0.292809
668,0.196707,0.292778,0.292778
669,0.197006,0.292747,0.292747
670,0.197305,0.292716,0.292716
671,0.197605,0.292684,0.292684
672,0.197904,0.292653,0.292653
673,0.198204,0.292622,0.292622
674,0.198503,0.292591,0.292591
675,0.198802,0.29256,0.29256
676,0.199102,0.292529,0.292529
677,0.199401,0.292497,0.292497
678,0.199701,0.292465,0.292465
679,0.2,0.292432,0.292432
680,0.200299,0.2924,0.2924
681,0.200599,0.292367,0.292367
682,0.200898,0.292334,0.292334
683,0.201198,0.292302,0.292302
684,0.201497,0.29227,0.29227
685,0.201796,0.292237,0.292237
686,0.202096,0.292204,0.292204
687,0.202395,0.29217,0.29217
688,0.202695,0.292137,0.292137
689,0.202994,0.292104,0.292104
690,0.203293,0.292071,0.292071
691,0.203593,0.292037,0.292037
692,0.203892,0.292003,0.292003
693,0.204192,0.291969,0.291969
694,0.204491,0.291934,0.291934
695,0.20479,0.2919,0.2919
696,0.20509,0.291865,0.291865
697,0.205389,0.29183,0.29183
698,0.205689,0.291795,0.291795
699,0.205988,0.29176,0.29176
700,0.206287,0.291726,0.291726
701,0.206587,0.291691,0.291691
702,0.206886,0.291656,0.291656
703,0.207186,0.29162,0.29162
704,0.207485,0.291585,0.291585
705,0.207784,0.29155,0.29155
706,0.208084,0.291514,0.291514
707,0.208383,0.291479,0.291479
708,0.208683,0.291443,0.291443
709,0.208982,0.291408,0.291408
710,0.209281,0.291372,0.291372
711,0.209581,0.291336,0.291336
712,0.20988,0.2913,0.2913
713,0.21018,0.291265,0.291265
714,0.210479,0.291229,0.291229
715,0.210778,0.291193,0.291193
716,0.211078,0.291158,0.291158
